id,id_institut,commanditaire,debut,fin,lien,echantillon,id_population
17,1,"Les Echos, CNews, Radio Classique",2021-11-15,2021-11-17,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9243-presi-track-3-ow-les-echos.pdf,1454,1
18,5,Challenges,2021-05-14,2021-05-17,http://www.commission-des-sondages.fr/notices/files/notices/2021/mai/9136-p-hi-challenges-v2.pdf,1002,1
19,4,"L'Obs, France Info",2021-01-27,2021-01-28,http://www.commission-des-sondages.fr/notices/files/notices/2021/fevrier/9095-pres-ipsos-l-obs.pdf,750,2
20,5,Challenges,2021-09-10,2021-09-13,http://www.commission-des-sondages.fr/notices/files/notices/2021/septembre/9207-p-hi-challenges-v13.pdf,1063,1
21,5,Challenges,2021-10-15,2021-10-18,http://www.commission-des-sondages.fr/notices/files/notices/2021/octobre/9225-p-hi-challenges-v18.pdf,2006,1
22,3,"BFM TV",2021-10-05,2021-10-06,http://www.commission-des-sondages.fr/notices/files/notices/2021/octobre/9218-p-elabe-bfm.pdf,927,2
23,5,Challenges,2021-10-08,2021-10-11,http://www.commission-des-sondages.fr/notices/files/notices/2021/octobre/9221-p-hi-challenges-17.pdf,1051,1
24,4,"Franceinfo, Le Parisien",2021-09-02,2021-09-03,http://www.commission-des-sondages.fr/notices/files/notices/2021/septembre/9204-p-ipsos-le-parisien.pdf,490,2
25,3,"BFM TV",2020-06-30,2020-07-01,http://www.commission-des-sondages.fr/notices/files/notices/2020/juillet/9070-pdt-elabe-bfm.pdf,893,1
26,5,Challenges,2021-08-20,2021-08-23,http://www.commission-des-sondages.fr/notices/files/notices/2021/aout/9200-p-hi-challenges.pdf,1113,1
27,2,"LCI, Le Figaro",2021-08-31,2021-09-02,http://www.commission-des-sondages.fr/notices/files/notices/2021/septembre/9203-p-ifop-v3-le-figaro.pdf,1334,1
28,5,Challenges,2021-07-02,2021-07-05,http://harris-interactive.fr/wp-content/uploads/sites/6/2021/07/Rapport_Harris_-_Vague_9_Intentions_de_vote_Presidentielle_2022_-_5_juillet_2021_Challenges.pdf,1260,1
29,5,L'Opinion,2021-01-19,2021-01-20,http://www.commission-des-sondages.fr/notices/files/notices/2021/janvier/9092-p-hi-l-opinion.pdf,976,1
30,2,"LCI, Le Figaro",2021-05-18,2021-05-20,http://www.commission-des-sondages.fr/notices/files/notices/2021/mai/9139-p-ifop-le-figaro.pdf,1363,1
31,5,Challenges,2021-11-05,2021-11-08,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9235-p-hi-challenges-v21.pdf,2001,1
32,3,"BFM TV, L'Express, SFR",2021-11-10,2021-11-11,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9238-elabe-bfmtv.pdf,1082,2
33,2,"Journal du Dimanche, Sud Radio",2021-04-02,2021-04-08,http://www.commission-des-sondages.fr/notices/files/notices/2021/avril/9113-p-ifop-jddpdf.pdf,1730,1
34,5,Challenges,2021-06-11,2021-06-14,http://www.commission-des-sondages.fr/notices/files/notices/2021/juin/9186-presidentielles-challenges-v6-hi.pdf,1304,1
35,7,,2021-08-02,2021-08-22,https://cluster17.com/docs/notice_aout.pdf,15737,1
36,4,"Le Monde, Cevipof, Fondation Jean Jaurès",2021-04-09,2021-04-15,http://www.commission-des-sondages.fr/notices/files/notices/2021/avril/9122-p-ipsos-cevipof-le-monde.pdf,6808,2
37,3,"BFM TV, L'Express, SFR",2021-11-23,2021-11-24,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,1042,2
38,5,Challenges,2021-12-03,2021-12-06,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,2129,1
39,3,"BFM TV",2021-06-28,2021-06-29,http://www.commission-des-sondages.fr/notices/files/notices/2021/juillet/9197-p-elabe-bfm.pdf,815,2
40,5,Challenges,2021-08-27,2021-08-30,http://www.commission-des-sondages.fr/notices/files/notices/2021/septembre/9202-p-hi-v11-challenges.pdf,1083,1
41,7,,2021-11-09,2021-11-12,https://cluster17.com/wp-content/uploads/2021/11/2021115_Cluster17_Site_Notice-Technique_Rolling-Hebdomadaire.pdf,2540,1
42,3,"BFM TV",2021-09-11,2021-09-13,http://www.commission-des-sondages.fr/notices/files/notices/2021/septembre/9206-p-elabe-bfmtv.pdf,948,2
43,4,"Le Parisien, franceinfo",2021-12-06,2021-12-08,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,794,2
44,2,"Le Figaro, LCI",2021-09-29,2021-10-01,http://www.commission-des-sondages.fr/notices/files/notices/2021/octobre/9216-p-ifop-le-figaro-v4.pdf,1351,1
45,8,L'Obs,2021-10-05,2021-10-11,http://www.commission-des-sondages.fr/notices/files/notices/2021/octobre/9223-p-odoxa-l-obs.pdf,2450,1
46,5,Challenges,2021-06-20,2021-06-21,http://harris-interactive.fr/wp-content/uploads/sites/6/2021/06/Rapport-Harris-Vague-7-Intentions-de-vote-Presidentielle-2022-Challenges-1.pdf,1020,1
47,5,Challenges,2021-05-28,2021-05-31,http://harris-interactive.fr/wp-content/uploads/sites/6/2021/06/Rapport_Harris_-_Vague_4_Intentions_de_vote_Presidentielle_2022_-_31_mai_2021_Challenges.pdf,1057,1
48,2,"Journal du Dimanche, Sud Radio",2021-11-23,2021-11-25,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,1351,1
49,6,"RTL, Orange",2021-12-06,2021-12-08,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,1077,2
50,7,,2021-11-17,2021-11-21,https://cluster17.com/wp-content/uploads/2021/11/NOTICE-TECHNIQUE-BAROMETRE-S46.pdf,2433,1
51,8,L'Obs,2021-09-22,2021-09-23,http://www.commission-des-sondages.fr/notices/files/notices/2021/septembre/9211-p-odoxa-l-obs.pdf,810,2
52,7,,2021-12-04,2021-12-08,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9262-p-cluster-17-4-8-dec-2.pdf,1487,1
53,4,"franceinfo, Le Parisien",2021-09-29,2021-09-30,http://www.commission-des-sondages.fr/notices/files/notices/2021/octobre/9215-p-ipsos-le-parisien.pdf,750,2
54,5,Challenges,2021-10-22,2021-10-25,http://www.commission-des-sondages.fr/notices/files/notices/2021/octobre/9228-p-hi-challenges-v19.pdf,2060,1
55,5,Challenges,2021-09-03,2021-09-06,http://www.commission-des-sondages.fr/notices/files/notices/2021/septembre/9205-p-hi-v2-challenges.pdf,1076,1
56,2,"Sud Radio",2021-12-14,2021-12-15,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9268-p-ifop-sud-radio.pdf,1017,1
57,5,Challenges,2021-11-26,2021-11-29,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,2071,1
58,5,"Commstrat, L'Opinion",2021-03-02,2021-03-04,http://www.commission-des-sondages.fr/notices/files/notices/2021/mars/9102-p-hi-l-opinion.pdf,846,1
59,3,"BFM TV, L'Express, SFR",2021-10-25,2021-10-27,http://www.commission-des-sondages.fr/notices/files/notices/2021/octobre/9230-p-elabe-bfm-l-express.pdf,948,2
60,5,Challenges,2021-10-28,2021-10-30,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9231-p-hi-challenges-v20.pdf,2003,1
61,2,"LCI, Le Figaro",2021-11-03,2021-11-05,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9234-ifop-le-figaro-v6.pdf,1358,1
62,2,"La Manche Libre",2021-09-14,2021-09-15,http://www.commission-des-sondages.fr/notices/files/notices/2021/septembre/9210-p-ifop-courrier-cauchois.pdf,893,1
63,5,Challenges,2021-05-21,2021-05-24,http://www.commission-des-sondages.fr/notices/files/notices/2021/mai/9138-p-hi-challenges.pdf,1014,1
64,5,Challenges,2021-11-19,2021-11-22,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9245-p-hi-challenges-v23.pdf,2120,1
65,5,Challenges,2021-04-16,2021-04-19,http://harris-interactive.fr/wp-content/uploads/sites/6/2021/04/Rapport_Harris-Intentions_de_vote_Presidentielle_2022-avril-2021_Challenges.pdf,1001,1
66,5,Challenges,2021-11-12,2021-11-15,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9241-p-hi-challenges-v22.pdf,2027,1
67,2,"LCI, Le Figaro",2021-12-04,2021-12-06,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,1341,1
68,4,"France Télés, Radio France, LCP",2021-06-25,2021-06-26,http://www.commission-des-sondages.fr/notices/files/notices/2021/juillet/9199-pres-ipsos-france-tv.pdf,871,2
69,1,"Les Echos, CNews, Radio Classique",2021-12-13,2021-12-15,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9266-p-ow-cnews-v4.pdf,1470,3
70,5,Challenges,2021-09-24,2021-09-27,http://www.commission-des-sondages.fr/notices/files/notices/2021/septembre/9212-p-hi-challenges-v-15.pdf,1048,1
71,7,,2021-07-04,2021-07-23,https://cluster17.com/docs/notice_juillet.pdf,15390,1
72,3,"BFM TV, L'Express, SFR",2021-12-17,2021-12-20,https://elabe.fr/wp-content/uploads/2021/12/presidentielle-2022-def.pdf,1081,2
73,4,"Libres !",2021-08-20,2021-08-22,http://www.commission-des-sondages.fr/notices/files/notices/2021/aout/9201-p-ipsos-libres-le-point.pdf,1060,2
74,2,Marianne,2021-03-05,2021-03-11,http://www.commission-des-sondages.fr/notices/files/notices/2021/mars/9106-p-ifop-marianne.pdf,2554,1
75,7,,2021-12-12,2021-12-15,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9267-p-cluster-17.pdf,1520,1
76,8,"L'Obs, Saegus",2021-11-05,2021-11-08,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9237-p-odoxa-l-obs.pdf,2756,1
77,2,"CNews, Sud Radio",2020-06-18,2020-06-19,http://www.commission-des-sondages.fr/notices/files/notices/2020/juin/9063-pdt-ifop-c-news.pdf,992,1
78,5,Challenges,2021-12-10,2021-12-13,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,2159,1
79,9,,2021-04-14,2021-04-15,https://redfieldandwiltonstrategies.com/first-france-presidential-election-voting-intention-14-15-april-2021/,1617,1
80,8,"L'Obs, Mascaret",2021-12-07,2021-12-09,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,1815,1
81,1,"Mieux voter",2021-12-08,2021-12-09,https://www.opinion-way.com/fr/component/edocman/opinionway-mieux-voter-etude-sur-le-jugement-majoritaire-decembre-2021/viewdocument/2733.html?Itemid=0,962,1
82,2,"Parti animaliste",2021-10-26,2021-10-27,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9240-p-ifop-parti-animaliste.pdf,915,1
83,7,,2021-10-01,2021-10-18,https://cluster17.com/docs/notice_octobre.pdf,9646,1
84,4,"Le Monde, Cevipof, Fondation Jean Jaurès",2021-12-07,2021-12-13,https://www.lemonde.fr/election-presidentielle-2022/article/2021/12/18/presidentielle-2022-un-scrutin-plus-que-jamais-imprevisible_6106578_6059010.html,6736,2
85,2,"Club de la presse",2021-02-23,2021-02-24,http://www.commission-des-sondages.fr/notices/files/notices/2021/mars/9103-p-ifop-club-de-la-presse.pdf,902,1
